Name,Colour,DiffPath,GlossPath,TransPath,AlphaPath,BumpPath
BVN_acrylic,,,,,,
BVN_Brick_Ashmont,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Brick\brick_ashmont_2000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Brick\brick_ashmont_2000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Brick\brick_ashmont_2000_b.jpg
BVN_Brick_Bowral,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Brick\brick_bowral_2000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Brick\brick_bowral_2000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Brick\brick_bowral_2000_b.jpg
BVN_Brick_Grey_01,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Brick\brick_grey_2000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Brick\brick_grey_2000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Brick\brick_grey_2000_b.jpg
BVN_Brick_Grey_02,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Brick\brick_grey-02_2000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Brick\brick_grey-02_2000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Brick\brick_grey-02_2000_b.jpg
BVN_Brick_Red_01,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Brick\brick_red_2000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Brick\brick_red_2000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Brick\brick_red_2000_b.jpg
BVN_Brick_Red_02,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Brick\brick_red-02_2000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Brick\brick_red-02_2000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Brick\brick_red-02_2000_b.jpg
BVN_Carpet_Cream_Stripes,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Carpet\carpet_cream_stripes_600_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Carpet\carpet_cream_stripes_600_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Carpet\carpet_cream_stripes_600_b.jpg
BVN_Carpet_Eco,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Carpet\carpet_eco1_1000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Carpet\carpet_eco1_1000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Carpet\carpet_eco1_1000_b.jpg
BVN_Carpet_Grey_Tiles_600x600,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Carpet\carpet_grey_600x600_1200_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Carpet\carpet_grey_600x600_1200_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Carpet\carpet_grey_600x600_1200_b.jpg
BVN_Ceiling_White_Tiles_600x1200,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Ceiling\ceiling_white_600x1200_2400_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Ceiling\ceiling_white_600x1200_2400_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Ceiling\ceiling_white_600x1200_2400_b.jpg
BVN_Ceiling_White_Tiles_600x600,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Ceiling\ceiling_white_600x600_2400_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Ceiling\ceiling_white_600x600_2400_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Ceiling\ceiling_white_600x600_2400_b.jpg
BVN_Ceramic_Charcoal_Tiles_300x600,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Ceramic\ceramic_charcoal_300x600_1200_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Ceramic\ceramic_charcoal_300x600_1200_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Ceramic\ceramic_charcoal_300x600_1200_b.jpg
BVN_Ceramic_Grey_Tiles_300x600,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Ceramic\ceramic_grey_300x600_1200_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Ceramic\ceramic_grey_300x600_1200_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Ceramic\ceramic_grey_300x600_1200_b.jpg
BVN_Ceramic_White_Tiles_300x600,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Ceramic\ceramic_white_300x600_1200_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Ceramic\ceramic_white_300x600_1200_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Ceramic\ceramic_white_300x600_1200_b.jpg
BVN_Cladding_Alucobond_Runningbond_1200x2400,110/110/110,\\bvn\data\MaterialsLibrary\Cladding\cladding_alucobond_runningbond-1200x2400_4800_m_Bump.jpg,,,,\\bvn\data\MaterialsLibrary\Cladding\cladding_alucobond_runningbond-1200x2400_4800_m_Bump.jpg
BVN_Cladding_Alucobond_Stackbond_1200x2400,110/110/110,\\bvn\data\MaterialsLibrary\Cladding\cladding_alucobond_stackbond-1200x2400_4800_m_Bump.jpg,,,,\\bvn\data\MaterialsLibrary\Cladding\cladding_alucobond_stackbond-1200x2400_4800_m_Bump.jpg
BVN_Cladding_FC_Runningbond_1200x2400,190/173/148,\\bvn\data\MaterialsLibrary\Cladding\cladding_fcexpressjoint_runningbond-1200x2400_4800_m_Bump.jpg,,,,\\bvn\data\MaterialsLibrary\Cladding\cladding_fcexpressjoint_runningbond-1200x2400_4800_m_Bump.jpg
BVN_Cladding_FC_Stackbond_1200x2400,190/173/148,\\bvn\data\MaterialsLibrary\Cladding\cladding_fcexpressjoint_stackbond-1200x2400_4800_m_Bump.jpg,,,,\\bvn\data\MaterialsLibrary\Cladding\cladding_fcexpressjoint_stackbond-1200x2400_4800_m_Bump.jpg
BVN_Cladding_Weathboards_Textured,218/216/192,\\bvn\data\MaterialsLibrary\Cladding\cladding_weatherboard_textured-150_3000_m_Bump.jpg,,,,\\bvn\data\MaterialsLibrary\Cladding\cladding_weatherboard_textured-150_3000_m_Bump.jpg
BVN_Cladding_Weatherboard_Smooth,218/216/192,\\bvn\data\MaterialsLibrary\Cladding\cladding_weatherboard_smooth-150_3000_Bump.jpg,,,,\\bvn\data\MaterialsLibrary\Cladding\cladding_weatherboard_smooth-150_3000_Bump.jpg
BVN_Concrete_Blockwork_600x300,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_blockwork_600x300_2400_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_blockwork_600x300_2400_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_blockwork_600x300_2400_b.jpg
BVN_Concrete_Hebel_600x200,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_hebel_600x200_2400_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_hebel_600x200_2400_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_hebel_600x200_2400_b.jpg
BVN_Concrete_Off Form,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_off_form_2000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_off_form_2000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_off_form_2000_b.jpg
BVN_Concrete_Polished_01,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_polished_2000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_polished_2000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_polished_2000_b.jpg
BVN_Concrete_Polished_02,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_polished_02_2000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_polished_02_2000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_polished_02_2000_b.jpg
BVN_Concrete_Polished_03,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_polished-03_2000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_polished-03_2000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_polished-03_2000_b.jpg
BVN_Concrete_Polished_04,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_polished-04_2000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_polished-04_2000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_polished-04_2000_b.jpg
BVN_Concrete_Rough_01,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_rough_2000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_rough_2000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_rough_2000_b.jpg
BVN_Concrete_Rough_02,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_rough-02_2000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_rough-02_2000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_rough-02_2000_b.jpg
BVN_Concrete_Rough_03,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_rough-03_2000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_rough-03_2000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_rough-03_2000_b.jpg
BVN_Concrete_Rough_04,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_rough-04_2000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_rough-04_2000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_rough-04_2000_b.jpg
BVN_Concrete_Rough_05,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_rough-05_2000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_rough-05_2000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_rough-05_2000_b.jpg
BVN_Concrete_Rough_06,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_rough-06_2000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_rough-06_2000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_rough-06_2000_b.jpg
BVN_Concrete_Rough_07,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_rough-07_2000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_rough-07_2000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_rough-07_2000_b.jpg
BVN_Concrete_Terrazzo,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_terrazzo_2000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_terrazzo_2000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_terrazzo_2000_b.jpg
BVN_Concrete_Terrazzo_Floor,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_terrazzo_floor_2000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_terrazzo_floor_2000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_terrazzo_floor_2000_b.jpg
BVN_Concrete_Terrazzo_SL09,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_terrazzo_SL09_1000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_terrazzo_SL09_1000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_terrazzo_SL09_1000_b.jpg
BVN_Concrete_Terrazzo_SL25,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_terrazzo_SL25_1000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_terrazzo_SL25_1000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_terrazzo_SL25_1000_b.jpg
BVN_Concrete_Terrazzo_SL26,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_terrazzo_SL26_1000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_terrazzo_SL26_1000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_terrazzo_SL26_1000_b.jpg
BVN_Concrete_Venetian_01,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_venetian_2000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_venetian_2000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_venetian_2000_b.jpg
BVN_Concrete_Venetian_02,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_venetian-02_2000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_venetian-02_2000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Concrete\concrete_venetian-02_2000_b.jpg
BVN_Fabric_Felt,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Fabric\fabric_felt_500_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Fabric\fabric_felt_500_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Fabric\fabric_felt_500_b.jpg
BVN_Fabric_Generic_Blue,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Fabric\fabric_generic-02_500_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Fabric\fabric_generic-02_500_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Fabric\fabric_generic-02_500_b.jpg
BVN_Fabric_Generic_Orange,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Fabric\fabric_generic_500_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Fabric\fabric_generic_500_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Fabric\fabric_generic_500_b.jpg
BVN_Fabric_Kvadrat_116,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Fabric\fabric_Kvadrat-116_500_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Fabric\fabric_Kvadrat-116_500_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Fabric\fabric_Kvadrat-116_500_b.jpg
BVN_Fabric_Kvadrat_133,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Fabric\fabric_Kvadrat-133_500_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Fabric\fabric_Kvadrat-133_500_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Fabric\fabric_Kvadrat-133_500_b.jpg
BVN_Fabric_Leather_Brown Dark_Rough,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Leather\leather_rugged-02_500_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Leather\leather_rugged-02_500_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Leather\leather_rugged-02_500_b.jpg
BVN_Fabric_Leather_Brown Light_Rough,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Leather\leather_rough_500_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Leather\leather_rough_500_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Leather\leather_rough_500_b.jpg
BVN_Fabric_Leather_Brown_01,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Leather\leather_brown_500_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Leather\leather_brown_500_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Leather\leather_brown_500_b.jpg
BVN_Fabric_Leather_Brown_02,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Leather\leather_brown-02_500_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Leather\leather_brown-02_500_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Leather\leather_brown-02_500_b.jpg
BVN_Fabric_Leather_Brown_03,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Leather\leather_brown-03_500_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Leather\leather_brown-03_500_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Leather\leather_brown-03_500_b.jpg
BVN_Fabric_Vinyl Upholstery_White,255/255/255,,,,,
BVN_Grass,73/83/39,,,,,
BVN_Green Wall,255/255/255,\\bvn\data\MaterialsLibrary\Vegetation\IvySolid.jpg,,,,\\bvn\data\MaterialsLibrary\Vegetation\IvySolid.jpg
BVN_Green Wall Trellis,255/255/255,\\bvn\data\MaterialsLibrary\Vegetation\DiamondTrellis_Heavy.jpg,,,F:\InfoTech\Maps&Materials\Vegetation\IvyTrellis_Alpha.jpg,\\bvn\data\MaterialsLibrary\Vegetation\DiamondTrellis_Heavy_Bump.jpg
BVN_Ground_Asphalt_01,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Ground\ground_asphalt_1000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Ground\ground_asphalt_1000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Ground\ground_asphalt_1000_b.jpg
BVN_Ground_Asphalt_02,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Ground\ground_asphalt-02_1000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Ground\ground_asphalt-02_1000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Ground\ground_asphalt-02_1000_b.jpg
